species,area,wc2.1_5m_bio_2,wc2.1_5m_bio_5,wc2.1_5m_bio_7,wc2.1_5m_bio_8,wc2.1_5m_bio_9,wc2.1_5m_bio_13,wc2.1_5m_bio_14,wc2.1_5m_bio_15,wc2.1_5m_bio_18,wc2.1_5m_bio_19,elev
Palicourea_fulgens,F,0.979631808,1.480940669,1.19672871,1.38319278,1.310431296,2.294466226,1.728334815,1.690087671,2.567024771,2.224012876,193
Palicourea_garciae,A,0.945272788,1.330636937,1.002856925,1.220478552,1.230653232,2.488550717,1.86923172,1.591823984,2.747002118,2.812913357,1923
Palicourea_gardenioides,C,0.976642877,1.522554422,1.221101133,1.414048132,1.37844936,2.563481085,1.431363764,1.855803295,2.694605199,2.382017043,118
Palicourea_gemmiflora,A,1.029025108,1.432488251,1.088419596,1.317767441,1.303681925,2.214843848,1.886490725,1.286199068,2.555678312,2.460897843,1392
Palicourea_glabra,E,0.937258732,1.501374245,1.037466303,1.406909046,1.41708122,2.613841822,1.86332286,1.688355885,2.499687083,2.95616843,108
Palicourea_gracilenta,E,0.97902452,1.498489756,1.071845123,1.396931265,1.410332881,2.559906625,1.826074803,1.663599772,2.716837723,2.921686475,392
Palicourea_graciliflora,A,0.969419809,1.368045024,1.025633503,1.246293355,1.255778884,2.4448245,2.017033339,1.452491165,2.652246341,2.838849091,1640
Palicourea_grandiceps,E2,0.971171436,1.431556727,1.021850608,1.323870605,1.335838844,2.654176542,2.338456494,1.319152826,2.919078092,3.061452479,986
Palicourea_grandiflora,E,1.018911921,1.502003532,1.124373786,1.408641278,1.394985459,2.496929648,1.812913357,1.716057374,2.73479983,2.527629901,222
Palicourea_grandifructa,C,1.006780889,1.508798972,1.119530802,1.403028954,1.411257636,2.72427587,1.681241237,1.769813704,2.778874472,3.027757205,182
Palicourea_guianensis,E,0.957974259,1.494669311,1.039652074,1.404051552,1.408330434,2.546542663,1.857332496,1.662236378,2.678518379,2.892094603,218
Palicourea_harlingii,A,0.971804443,1.393141381,1.035715779,1.277395124,1.285021034,2.390575984,2.0060388,1.437036816,2.624282096,2.816903839,1519
Palicourea_heterochroma,A,1.012394281,1.330007684,1.056447477,1.198492125,1.18763461,2.439332694,1.819543936,1.572532617,2.686636269,2.812563584,2297
Palicourea_huampamiensis,E,0.975806938,1.495433319,1.046456206,1.40493059,1.410197806,2.519827994,2.181843588,1.309129937,2.798650645,2.920645001,238
Palicourea_hypochlorina,E2,0.96770988,1.496729039,1.038635755,1.418147937,1.417878386,2.457881897,2.173186268,1.306100248,2.808210973,2.839478047,146
Palicourea_jambosioides,F,0.837819853,1.469498024,1.039295138,1.38738982,1.367216096,2.255272505,2.068185862,1.289689796,2.660865478,2.64246452,50
Palicourea_lupulina,E,0.975305381,1.505312822,1.10656484,1.407951474,1.420953649,2.514547753,1.698970004,1.715400683,2.536558443,2.871572936,171
Palicourea_lachnantha,E,0.993994332,1.502509051,1.06167858,1.418414539,1.411111598,2.457881897,2.155336037,1.336027264,2.844477176,2.686636269,132
Palicourea_lasiantha,E,1.017026394,1.494808324,1.101128167,1.402791368,1.389077459,2.477121255,1.991226076,1.533510294,2.770852012,2.605305046,281
Palicourea_lasiorrhachis,A,0.970567706,1.372635864,1.067145241,1.244116263,1.254982854,2.610660163,1.785329835,1.698090001,2.815577748,2.729974286,1721
Palicourea_lehmannii,A,0.983351852,1.414287952,1.028530621,1.300809184,1.309768521,2.372912003,1.832508913,1.517413551,2.646403726,2.778874472,1446
Palicourea_lineata,A,1.038371749,1.346489907,1.108936982,1.205628376,1.180168914,2.214843848,1.431363764,1.706478696,2.525013846,2.158362492,2296
Palicourea_lobbii,A,0.987666277,1.321184043,1.071746705,1.168006145,1.155513176,2.164352856,1.78527147,1.480767492,2.394451681,2.367351921,2506
Palicourea_longiflora,E,0.953022361,1.504008461,1.051461234,1.409282022,1.420439878,2.556300825,1.851258349,1.687106797,2.503790683,2.903361252,123
Palicourea_loxensis,A,0.994962019,1.370679598,1.06911283,1.23451308,1.236239062,2.214843848,1.77815125,1.396117729,2.436162647,2.369215857,2056
Palicourea_luteonivea,A,1.010013925,1.432744881,1.076640455,1.320817635,1.321351939,2.309630167,1.897627091,1.404646265,2.589949601,2.611723308,1365
Palicourea_macarthurorum,E,0.965123229,1.488649397,1.028530621,1.397022452,1.405451635,2.517195898,2.227818267,1.321683415,2.818885415,2.837902914,281
Palicourea_macbridei,A,1.088026766,1.365581571,1.177940311,1.216095519,1.193546624,2.149219113,1.361727836,1.752478567,2.423245874,1.886490725,2441
Palicourea_macrobotrys,E,1.049182476,1.486472938,1.2112941,1.386516798,1.324570524,2.359835482,1.716003344,1.734512445,2.718501689,2.255272505,440.5
