"","spp1","spp2","overlap_mean_sp1to2","overlap_mean_sp2to1"
"1752","Palicourea_tetragona","Palicourea_polycephala",23.9495,82.53
"1753","Palicourea_domingensis","Palicourea_polycephala",88.5651,21.0684
"1754","Palicourea_pubescens","Palicourea_polycephala",11.2681,93.9163
"1755","Palicourea_correae","Palicourea_polycephala",53.4791,21.8617
"1756","Palicourea_elata","Palicourea_polycephala",72.5345,4.7814
"1757","Palicourea_berteroana","Palicourea_polycephala",99.2529,9.0046
"1758","Palicourea_petiolaris","Palicourea_polycephala",78.6412,3.2743
"1759","Palicourea_timbiquensis","Palicourea_polycephala",14.6394,14.7997
"1760","Palicourea_acanthacea","Palicourea_polycephala",40.1876,9.9255
"1761","Palicourea_brachiata","Palicourea_polycephala",84.6488,32.4199
"1762","Palicourea_glomerulata","Palicourea_polycephala",63.5627,40.688
"1763","Palicourea_conephoroides","Palicourea_polycephala",87.7767,3.712
"1764","Palicourea_tinctoria","Palicourea_polycephala",3.9196,92.469
"1765","Palicourea_jelskii","Palicourea_polycephala",25.1253,0.3346
"1766","Palicourea_allenii","Palicourea_polycephala",84.3317,8.5302
"1767","Palicourea_cyanococca","Palicourea_polycephala",83.8963,29.7322
"1768","Palicourea_hazenii","Palicourea_polycephala",89.3991,2.6176
"1769","Palicourea_tomentosa","Palicourea_polycephala",25.1416,99.2232
"1770","Psychotria_rosea","Palicourea_polycephala",45.9247,98.4259
"1771","Psychotria_suterella","Palicourea_polycephala",0.0187,0.0714
"1772","Palicourea_brachypoda","Palicourea_polycephala",0.1564,0.096
"1773","Palicourea_sessilis","Palicourea_polycephala",0.1836,5.7456
"1774","Palicourea_divaricata","Palicourea_polycephala",36.1176,9.3188
"1775","Palicourea_racemosa","Palicourea_polycephala",24.3452,99.744
"1776","Palicourea_subfusca","Palicourea_polycephala",8.5379,99.3628
"1777","Palicourea_topoensis","Palicourea_polycephala",3.1003,6.4855
"1778","Palicourea_brevicollis","Palicourea_polycephala",5.7284,0.2914
"1780","Palicourea_woronovii","Palicourea_deflexa",99.3518,21.2573
"1781","Palicourea_bangii","Palicourea_deflexa",48.6033,18.1152
"1782","Palicourea_flavifolia","Palicourea_deflexa",24.0803,62.9656
"1783","Palicourea_reticulata","Palicourea_deflexa",12.0057,71.2931
"1784","Palicourea_stipularis","Palicourea_deflexa",11.8265,85.2782
"1785","Palicourea_flavescens","Palicourea_deflexa",4.0047,15.7804
"1786","Palicourea_stenosepala","Palicourea_deflexa",17.9529,49.8937
"1787","Palicourea_lineata","Palicourea_deflexa",8.2318,75.7466
"1788","Palicourea_padifolia","Palicourea_deflexa",28.861,51.4106
"1789","Palicourea_lehmannii","Palicourea_deflexa",82.0483,5.0222
"1790","Palicourea_thyrsiflora","Palicourea_deflexa",18.3617,91.1998
"1791","Palicourea_demissa","Palicourea_deflexa",15.3916,69.8565
"1792","Palicourea_amethystina","Palicourea_deflexa",77.1156,4.1942
"1793","Palicourea_standleyana","Palicourea_deflexa",30.5222,11.5634
"1794","Palicourea_seemannii","Palicourea_deflexa",40.5942,48.3792
"1795","Palicourea_pyramidalis","Palicourea_deflexa",28.1349,16.0338
"1796","Palicourea_luteonivea","Palicourea_deflexa",57.5485,77.7213
"1797","Palicourea_sulphurea","Palicourea_deflexa",18.0218,91.7329
