"species","ID","wc2.1_5m_bio_2","wc2.1_5m_bio_5","wc2.1_5m_bio_7","wc2.1_5m_bio_8","wc2.1_5m_bio_9","wc2.1_5m_bio_13","wc2.1_5m_bio_14","wc2.1_5m_bio_15","wc2.1_5m_bio_18","wc2.1_5m_bio_19","elev","pollinator"
"Palicourea_grandifructa",0.393287465213812,0.0091429642259918,0.00682907483217626,0.00952051358956892,0.0087013900561657,0.00928300423559972,0.0478927404230175,0.194334709777678,0.0474525364249485,0.0494946095713231,0.0620674321280322,88.8060088706753,NA
"Palicourea_grandistipula",0.400387045710426,0.0471432695925249,0.0422533973745597,0.0640375565778336,0.0489966096304354,0.053871603595742,0.18674092428899,0.425782323439169,0.175531800573163,0.277353815813135,0.223497924560741,523.726483450173,NA
"Palicourea_guianensis",0.431447992997882,0.0728925156725665,0.0379969772342042,0.0805978461216497,0.0433383671030946,0.0514422741105082,0.14260980633893,0.420886088012837,0.190399297424954,0.200793849946348,0.340184263245905,454.433972712355,NA
"Palicourea_harlingii",0.373840380929147,0.0400050745611498,0.0547509376223343,0.0478785401042502,0.0714003642904384,0.0647989792663926,0.164320980240288,0.296293013031345,0.164832942236254,0.192669718450493,0.173735096771623,548.619714291321,NA
"Palicourea_hazenii",0.422567160373429,0.040347337034379,0.0645719054811892,0.0575495490026784,0.0795705801218344,0.081156520914788,0.150090788009541,0.280292968160136,0.156190286038376,0.139061993398121,0.281537094901437,573.93915579136,NA
"Palicourea_heterochroma",0.416315282593578,0.0454042759798093,0.0762049450076685,0.0599575444439757,0.094680937090578,0.100733498416956,0.146726207945777,NA,0.157569189200113,0.17467287573652,0.422142431101579,661.685681086115,NA
"Palicourea_huampamiensis",0.411792872621925,0.0316992807740038,0.023399193661996,0.0334556445496156,0.0276144563184312,0.02922399764127,0.0935673905437879,0.232906847205968,0.185243969441565,0.159587711726343,0.166977158351144,287.323000304648,NA
"Palicourea_hypochlorina",0.390308179574176,0.0265666655418922,0.00545926865187578,0.0271396409773799,0.00399918908320137,0.00813821300276995,0.039114015950093,0.116935791907067,0.141416693686491,0.0458304323900062,0.140002513811758,33.6132814832919,NA
"Palicourea_jambosioides",0.421064561492816,0.0810128647129164,0.0124458629014352,0.0645840831823054,0.0214434303880802,0.0278749215609762,0.123601328358831,0.427483172898612,0.238678354167492,0.128437298181623,0.390539445174709,205.842616209511,NA
"Palicourea_jelskii",0.401103300065057,0.0279765190417904,0.0626721141804734,0.0474601130877109,0.0880932028846599,0.116250510278828,0.0925948243247663,0.236455790726101,0.150782035195099,0.0933788663927538,0.169267864608076,744.936090710458,NA
