Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
156	0	-46.75902	-49.79278	3.033763	0.01613564	0.0161356	0.0161356	0.0161356	0.0161356	0.0161356	0.0161356
157	1	-49.68818	-53.06165	3.373468	0.00741329	0.00741329	0.00741329	0.00741329	0.00741329	0.00741329	0.00741329
158	0	-49.10434	-52.44925	3.344916	0.008146404	0.0081464	0.0081464	0.0081464	0.0081464	0.0081464	0.0081464
159	1	-48.54289	-51.85448	3.311585	0.009002213	0.00900221	0.00900221	0.00900221	0.00900221	0.00900221	0.00900221
160	0	-47.25834	-50.44581	3.187474	0.01218893	0.0121889	0.0121889	0.0121889	0.0121889	0.0121889	0.0121889
161	1	-47.24793	-50.43379	3.185853	0.01223055	0.0122306	0.0122306	0.0122306	0.0122306	0.0122306	0.0122306
162	0	-47.53508	-50.75964	3.22456	0.01123668	0.0112367	0.0112367	0.0112367	0.0112367	0.0112367	0.0112367
163	1	-46.81739	-49.89647	3.07908	0.01497206	0.0149721	0.0149721	0.0149721	0.0149721	0.0149721	0.0149721
164	0	-46.9431	-50.06727	3.124172	0.01381429	0.0138143	0.0138143	0.0138143	0.0138143	0.0138143	0.0138143
165	1	-47.37958	-50.58458	3.204996	0.01173903	0.011739	0.011739	0.011739	0.011739	0.011739	0.011739
166	0	-46.80144	-49.87194	3.070496	0.01519247	0.0151925	0.0151925	0.0151925	0.0151925	0.0151925	0.0151925
167	1	-46.75821	-49.74745	2.989241	0.0172788	0.0172788	0.0172788	0.0172788	0.0172788	0.0172788	0.0172788
168	0	-46.94382	-49.82518	2.881357	0.02004885	0.0200488	0.0200488	0.0200488	0.0200488	0.0200488	0.0200488
169	1	-47.13133	-49.9549	2.823576	0.02153243	0.0215324	0.0215324	0.0215324	0.0215324	0.0215324	0.0215324
170	0	-47.05106	-49.89741	2.846354	0.02094758	0.0209476	0.0209476	0.0209476	0.0209476	0.0209476	0.0209476
171	1	-46.80431	-49.87644	3.072138	0.01515032	0.0151503	0.0151503	0.0151503	0.0151503	0.0151503	0.0151503
172	0	-46.8778	-49.98181	3.104007	0.01433205	0.014332	0.014332	0.014332	0.014332	0.014332	0.014332
173	1	-46.80431	-49.87644	3.072138	0.01515032	0.0151503	0.0151503	0.0151503	0.0151503	0.0151503	0.0151503
174	0	-50.53547	-52.82011	2.284638	0.03537032	0.0353703	0.0353703	0.0353703	0.0353703	0.0353703	0.0353703
175	1	-46.75578	-49.7834	3.027627	0.0162932	0.0162932	0.0162932	0.0162932	0.0162932	0.0162932	0.0162932
176	0	-47.14165	-49.96245	2.820798	0.02160376	0.0216038	0.0216038	0.0216038	0.0216038	0.0216038	0.0216038
177	1	-46.98253	-49.85047	2.867939	0.02039338	0.0203934	0.0203934	0.0203934	0.0203934	0.0203934	0.0203934
178	0	-47.02136	-50.16501	3.143656	0.01331401	0.013314	0.013314	0.013314	0.013314	0.013314	0.013314
179	1	-47.27672	-50.06356	2.78684	0.02247568	0.0224757	0.0224757	0.0224757	0.0224757	0.0224757	0.0224757
180	0	-46.7542	-49.77778	3.023577	0.01639717	0.0163972	0.0163972	0.0163972	0.0163972	0.0163972	0.0163972
181	1	-46.93668	-50.05906	3.122382	0.01386024	0.0138602	0.0138602	0.0138602	0.0138602	0.0138602	0.0138602
182	0	-46.79242	-49.85739	3.064965	0.0153345	0.0153345	0.0153345	0.0153345	0.0153345	0.0153345	0.0153345
183	1	-46.7545	-49.75202	2.997522	0.01706618	0.0170662	0.0170662	0.0170662	0.0170662	0.0170662	0.0170662
184	0	-46.78227	-49.84015	3.05788	0.0155164	0.0155164	0.0155164	0.0155164	0.0155164	0.0155164	0.0155164
185	1	-46.7545	-49.75202	2.997522	0.01706618	0.0170662	0.0170662	0.0170662	0.0170662	0.0170662	0.0170662
186	0	-46.81906	-49.75557	2.936515	0.0186326	0.0186326	0.0186326	0.0186326	0.0186326	0.0186326	0.0186326
187	1	-46.8908	-49.99922	3.108423	0.01421866	0.0142187	0.0142187	0.0142187	0.0142187	0.0142187	0.0142187
188	0	-46.92335	-49.81228	2.888933	0.01985433	0.0198543	0.0198543	0.0198543	0.0198543	0.0198543	0.0198543
189	1	-46.83474	-49.92196	3.087212	0.01476327	0.0147633	0.0147633	0.0147633	0.0147633	0.0147633	0.0147633
190	0	-47.41663	-50.1718	2.755164	0.02328899	0.023289	0.023289	0.023289	0.023289	0.023289	0.023289
191	1	-47.91808	-51.18179	3.263704	0.01023164	0.0102316	0.0102316	0.0102316	0.0102316	0.0102316	0.0102316
192	0	-47.41663	-50.1718	2.755164	0.02328899	0.023289	0.023289	0.023289	0.023289	0.023289	0.023289
193	1	-47.62435	-50.33685	2.712501	0.02438444	0.0243844	0.0243844	0.0243844	0.0243844	0.0243844	0.0243844
194	0	-46.76201	-49.80019	3.038177	0.0160223	0.0160223	0.0160223	0.0160223	0.0160223	0.0160223	0.0160223
195	1	-47.62435	-50.33685	2.712501	0.02438444	0.0243844	0.0243844	0.0243844	0.0243844	0.0243844	0.0243844
196	0	-46.75215	-49.76429	3.012134	0.01669099	0.016691	0.016691	0.016691	0.016691	0.016691	0.016691
197	1	-47.06279	-49.90567	2.842878	0.02103683	0.0210368	0.0210368	0.0210368	0.0210368	0.0210368	0.0210368
198	0	-46.75215	-49.76429	3.012134	0.01669099	0.016691	0.016691	0.016691	0.016691	0.016691	0.016691
199	1	-47.39523	-50.15506	2.759829	0.02316923	0.0231692	0.0231692	0.0231692	0.0231692	0.0231692	0.0231692
200	0	-46.84544	-49.9372	3.091762	0.01464644	0.0146464	0.0146464	0.0146464	0.0146464	0.0146464	0.0146464
201	1	-47.39523	-50.15506	2.759829	0.02316923	0.0231692	0.0231692	0.0231692	0.0231692	0.0231692	0.0231692
202	0	-47.08193	-49.91925	2.837326	0.02117939	0.0211794	0.0211794	0.0211794	0.0211794	0.0211794	0.0211794
203	1	-47.49814	-50.23604	2.737898	0.02373231	0.0237323	0.0237323	0.0237323	0.0237323	0.0237323	0.0237323
204	0	-47.1468	-49.96622	2.819424	0.02163905	0.021639	0.021639	0.021639	0.021639	0.021639	0.021639
205	1	-46.75459	-49.75184	2.997249	0.01707318	0.0170732	0.0170732	0.0170732	0.0170732	0.0170732	0.0170732
206	0	-47.57833	-50.80787	3.229546	0.01110867	0.0111087	0.0111087	0.0111087	0.0111087	0.0111087	0.0111087
207	1	-47.44667	-50.19538	2.748714	0.02345462	0.0234546	0.0234546	0.0234546	0.0234546	0.0234546	0.0234546
208	0	-47.96687	-51.23489	3.268024	0.0101207	0.0101207	0.0101207	0.0101207	0.0101207	0.0101207	0.0101207
209	1	-46.78021	-49.83651	3.056297	0.01555705	0.0155571	0.0155571	0.0155571	0.0155571	0.0155571	0.0155571
210	0	-48.40924	-51.71175	3.302503	0.009235403	0.0092354	0.0092354	0.0092354	0.0092354	0.0092354	0.0092354
211	1	-47.18076	-49.9913	2.810535	0.02186729	0.0218673	0.0218673	0.0218673	0.0218673	0.0218673	0.0218673
212	0	-47.68264	-50.92354	3.240902	0.01081709	0.0108171	0.0108171	0.0108171	0.0108171	0.0108171	0.0108171
213	1	-46.90746	-50.02122	3.113757	0.0140817	0.0140817	0.0140817	0.0140817	0.0140817	0.0140817	0.0140817
214	0	-46.86237	-49.96079	3.09842	0.0144755	0.0144755	0.0144755	0.0144755	0.0144755	0.0144755	0.0144755
215	1	-46.84455	-49.93595	3.091398	0.0146558	0.0146558	0.0146558	0.0146558	0.0146558	0.0146558	0.0146558
216	0	-46.84138	-49.76582	2.92444	0.01894264	0.0189426	0.0189426	0.0189426	0.0189426	0.0189426	0.0189426
217	1	-46.90694	-49.80223	2.895297	0.01969092	0.0196909	0.0196909	0.0196909	0.0196909	0.0196909	0.0196909
218	0	-46.95786	-50.08602	3.128159	0.01371191	0.0137119	0.0137119	0.0137119	0.0137119	0.0137119	0.0137119
