Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
214	-47.4088	-50.16566	2.756865	0.02324533	0.0232453	0.0232453	0.0232453	0.0232453	0.0232453	0.0232453
215	-47.4088	-50.16566	2.756865	0.02324533	0.0232453	0.0232453	0.0232453	0.0232453	0.0232453	0.0232453
216	-46.87627	-49.97974	3.103469	0.01434585	0.0143459	0.0143459	0.0143459	0.0143459	0.0143459	0.0143459
217	-46.78711	-49.74488	2.957765	0.01808697	0.018087	0.018087	0.018087	0.018087	0.018087	0.018087
218	-47.01785	-50.16071	3.14286	0.01333445	0.0133344	0.0133344	0.0133344	0.0133344	0.0133344	0.0133344
219	-47.30677	-50.08656	2.779783	0.02265688	0.0226569	0.0226569	0.0226569	0.0226569	0.0226569	0.0226569
220	-47.66635	-50.3707	2.704354	0.02459361	0.0245936	0.0245936	0.0245936	0.0245936	0.0245936	0.0245936
221	-46.9637	-50.09339	3.129689	0.01367261	0.0136726	0.0136726	0.0136726	0.0136726	0.0136726	0.0136726
222	-46.7523	-49.76688	3.01458	0.01662819	0.0166282	0.0166282	0.0166282	0.0166282	0.0166282	0.0166282
223	-47.10244	-49.93396	2.83152	0.02132846	0.0213285	0.0213285	0.0213285	0.0213285	0.0213285	0.0213285
224	-46.75214	-49.76257	3.010428	0.01673478	0.0167348	0.0167348	0.0167348	0.0167348	0.0167348	0.0167348
225	-46.75214	-49.76257	3.010428	0.01673478	0.0167348	0.0167348	0.0167348	0.0167348	0.0167348	0.0167348
226	-46.77438	-49.82581	3.051436	0.01568186	0.0156819	0.0156819	0.0156819	0.0156819	0.0156819	0.0156819
