Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
123	1	-172.9658	-175.9858	3.020055	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648
124	0	-172.9253	-175.9293	3.004005	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308
125	1	-172.9658	-175.9858	3.020055	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648
126	0	-172.9253	-175.9293	3.004005	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308
127	1	-174.643	-176.8367	2.193721	0.02376968	0.02376968	0.02376968	0.02376968	0.02376968	0.02376968	0.02376968	0.02376968	0.02376968	0.02376968	0.02376968	0.02376968	0.02376968
128	0	-172.9253	-175.9293	3.004005	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308
129	1	-173.4418	-175.8989	2.457129	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939
130	0	-172.9253	-175.9293	3.004005	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308
131	1	-173.4418	-175.8989	2.457129	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939
132	0	-173.0632	-175.6414	2.578285	0.02001718	0.02001718	0.02001718	0.02001718	0.02001718	0.02001718	0.02001718	0.02001718	0.02001718	0.02001718	0.02001718	0.02001718	0.02001718
133	1	-173.4169	-176.56	3.143053	0.01450629	0.01450629	0.01450629	0.01450629	0.01450629	0.01450629	0.01450629	0.01450629	0.01450629	0.01450629	0.01450629	0.01450629	0.01450629
134	0	-172.9777	-175.5909	2.613225	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624
135	1	-173.8714	-176.2217	2.350358	0.02224124	0.02224124	0.02224124	0.02224124	0.02224124	0.02224124	0.02224124	0.02224124	0.02224124	0.02224124	0.02224124	0.02224124	0.02224124
