Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
67	1	-124.6981	-165.8976	41.1995	0.0001368825	0.008219986	0.007753766	0.001041847	0.0008164577	0.01312468	0.01658351	0.01192397	0.01031474	0.01180266	0.03059611	0.0452594	0.194725	0.0980126	0.379391	0.327871
68	0	-125.391	-166.9742	41.58322	0.00136058	0.009732065	0.01248958	0.002063087	0.0004834511	0.009474621	0.02978407	0.01424236	0.0126679	0.005888979	0.02196166	0.03368137	0.251756	0.28803	0.147609	0.312605
69	1	-123.3615	-163.1833	39.82175	8.682611e-05	0.00811025	0.009565986	0.0009095484	0.001456977	0.007578364	0.03147793	0.0130781	0.01131007	0.007497264	0.02314641	0.05680001	0.192216	0.109638	0.374501	0.323646
70	0	-124.9587	-168.452	43.49328	0.002007974	0.007782425	0.009933306	0.002458288	0.0005510526	0.009537698	0.02464449	0.01424236	0.01004735	0.005888979	0.01441648	0.03368137	0.26817	0.078032	0.320811	0.332987
71	1	-122.2798	-164.6338	42.35398	9.349268e-05	0.007631865	0.006933362	0.001122686	0.0010336	0.007232349	0.03147793	0.01157164	0.01234701	0.00693855	0.01726476	0.04266158	0.115366	0.0519795	0.638406	0.194249
72	0	-126.7048	-170.063	43.35818	0.003039662	0.00632153	0.009660902	0.001652147	0.0006823006	0.01065937	0.02464449	0.01424236	0.01494447	0.005778518	0.01441648	0.03046777	0.247231	0.347984	0.150821	0.253965
73	1	-124.1424	-166.5899	42.44749	7.379426e-05	0.007340451	0.01543221	0.001122686	0.0010336	0.003972082	0.03147793	0.01157164	0.0183748	0.004628969	0.01726476	0.0331034	0.27238	0.095479	0.43616	0.195981
74	0	-124.3629	-166.0789	41.71599	0.001758937	0.006396962	0.008264722	0.001976452	0.0006823006	0.009246878	0.02464449	0.01424236	0.01494447	0.005778518	0.02056086	0.04403724	0.153917	0.061131	0.241242	0.543709
75	1	-128.8037	-168.8981	40.09447	7.379426e-05	0.005733129	0.01512681	0.001536986	0.0006509481	0.003984567	0.0431427	0.01570822	0.0269664	0.008167352	0.02487566	0.02239009	0.27718	0.291994	0.3223	0.108526
76	0	-125.1257	-167.588	42.46223	0.002106228	0.006396962	0.005848951	0.002943891	0.0008189419	0.006794399	0.02464449	0.01424236	0.01562999	0.005904371	0.01588468	0.04403724	0.559187	0.0269312	0.174352	0.23953
77	1	-130.3885	-171.7668	41.37833	6.474648e-05	0.005733129	0.008440833	0.001222626	0.001265433	0.004756158	0.0431427	0.02086628	0.03012882	0.009355669	0.01440028	0.01645234	0.542723	0.136726	0.108054	0.212497
78	0	-125.0788	-166.5715	41.4927	0.002096027	0.01092539	0.003910869	0.004048774	0.0006889797	0.006613577	0.02464449	0.01169826	0.01276513	0.005021188	0.01667987	0.05562048	0.667715	0.032158	0.20819	0.0919373
79	1	-128.5559	-170.9997	42.44373	4.394563e-05	0.005733129	0.008141548	0.001182974	0.001560143	0.005874022	0.02306557	0.01294908	0.03012882	0.01708315	0.01289906	0.0267716	0.444189	0.161202	0.144071	0.250538
80	0	-127.3202	-171.0891	43.76896	0.001562978	0.008153854	0.003824909	0.004373286	0.0007992306	0.0102005	0.01934674	0.01409253	0.01276513	0.005021188	0.01145197	0.0409094	0.811668	0.0182265	0.117998	0.0521082
81	1	-126.8948	-169.073	42.17826	4.394563e-05	0.004955505	0.00749554	0.0003347331	0.001560143	0.005618067	0.02359734	0.01294908	0.02263371	0.01920193	0.01772566	0.03190777	0.498999	0.181094	0.161849	0.158058
82	0	-123.7236	-165.4105	41.68687	0.00208123	0.008153854	0.005433034	0.005979663	0.0005577219	0.00791627	0.03024995	0.01140742	0.01230835	0.007814102	0.0173333	0.04358341	0.246559	0.0675919	0.621411	0.0644379
83	1	-128.5626	-170.3029	41.74029	7.299004e-05	0.004809545	0.0104041	0.0002356171	0.00202218	0.007418932	0.01789284	0.01793353	0.02263371	0.01920193	0.01776391	0.03190777	0.352497	0.234049	0.209177	0.204277
84	0	-124.1077	-167.6776	43.56994	0.002160317	0.008446292	0.005217236	0.001732539	0.000504617	0.01010518	0.02220708	0.01212916	0.01066938	0.009208385	0.01367865	0.03838486	0.245007	0.0479894	0.617501	0.0895018
85	1	-126.9805	-167.6704	40.68987	5.179557e-05	0.01199752	0.01664263	0.0002028672	0.002134728	0.005187194	0.02586096	0.01793353	0.01410502	0.01920193	0.01776391	0.03146477	0.224129	0.148816	0.398547	0.228507
86	0	-127.3077	-170.3127	43.00509	0.002160317	0.005642175	0.007942138	0.004067531	0.0005874779	0.006751133	0.02220708	0.01431759	0.01423053	0.006271709	0.00552656	0.05025119	0.245007	0.0479894	0.617501	0.0895018
87	1	-127.8712	-168.6737	40.80249	5.114941e-05	0.0168237	0.01983702	0.0002363754	0.002789196	0.00478501	0.02156463	0.0174511	0.01925978	0.01172241	0.01776391	0.02916366	0.209873	0.169952	0.406202	0.213973
88	0	-126.8663	-169.4896	42.62328	0.003545798	0.004293535	0.005767456	0.004067531	0.0004280585	0.009713772	0.02904864	0.01330487	0.01423053	0.004650598	0.008029994	0.04660031	0.292418	0.0572756	0.543486	0.106821
89	1	-126.518	-166.1521	39.63406	3.914679e-05	0.01689379	0.0120895	0.0003526632	0.002343343	0.00478501	0.01685877	0.01640862	0.01974465	0.01187394	0.02788007	0.04357967	0.25185	0.203944	0.196137	0.348069
90	0	-123.3242	-164.537	41.21284	0.003000059	0.006606978	0.007178744	0.00461202	0.0004280585	0.006811197	0.03003183	0.004786294	0.01255711	0.007180029	0.0276512	0.04660031	0.0964667	0.344013	0.329539	0.229981
91	1	-127.5545	-169.0692	41.51471	3.914679e-05	0.0189023	0.01211674	0.000338797	0.003799306	0.004561321	0.01698535	0.01640862	0.01974465	0.005968919	0.02788007	0.02775305	0.226195	0.54968	0.176157	0.0479683
92	0	-125.5516	-166.4837	40.93205	0.00443389	0.01063431	0.00743722	0.01566445	0.0004877747	0.006811197	0.03003183	0.005617962	0.01041155	0.00719778	0.0276512	0.03380455	0.0964667	0.344013	0.329539	0.229981
93	1	-126.9538	-168.5672	41.61343	8.726025e-05	0.0189023	0.01211674	0.0003448256	0.005391408	0.007294313	0.01406891	0.0103285	0.02278892	0.006194387	0.02788007	0.02813734	0.289791	0.292626	0.392047	0.0255363
94	0	-124.7169	-165.807	41.09007	0.004024834	0.007973854	0.01123125	0.01176843	0.0004877747	0.003156266	0.03012261	0.005723082	0.01085446	0.01196186	0.0276512	0.03368621	0.0933622	0.195597	0.48846	0.22258
95	1	-127.01	-169.0511	42.0411	0.0001208448	0.007653411	0.01211674	0.0004569614	0.005391408	0.01409222	0.01406891	0.007270041	0.02517562	0.009862331	0.02294114	0.03021219	0.193632	0.195526	0.586524	0.0243182
96	0	-125.7601	-165.6929	39.93274	0.00455215	0.01018054	0.006872773	0.009851781	0.0006128214	0.005048114	0.02446551	0.008968249	0.01682374	0.01325172	0.0325544	0.03675296	0.0686492	0.143823	0.359165	0.428363
97	1	-126.4791	-166.8995	40.4204	0.0001349283	0.007620751	0.01211674	0.0007723414	0.005391408	0.02225208	0.0230075	0.009091161	0.02202714	0.009545556	0.02300452	0.03021219	0.175514	0.199919	0.599702	0.0248646
98	0	-125.4062	-166.6639	41.25769	0.005325775	0.01570676	0.006482089	0.009851781	0.001292253	0.006747053	0.01551205	0.006891968	0.01682374	0.008849774	0.02676993	0.03675296	0.0561061	0.117545	0.740404	0.0859456
99	1	-127.3088	-165.6719	38.36313	0.0001911383	0.01368842	0.009692923	0.0009226761	0.005391408	0.01911872	0.0230075	0.0100085	0.02202714	0.02095557	0.03003451	0.03021219	0.0517683	0.0589666	0.881603	0.00766237
100	0	-127.7354	-165.0514	37.31603	0.004860702	0.02139746	0.004786438	0.02375802	0.001718434	0.006747053	0.02196273	0.005274077	0.01682374	0.008214665	0.02949249	0.05043228	0.0140344	0.0887092	0.832394	0.064862
101	1	-127.8537	-166.4929	38.63916	0.0001901003	0.004551999	0.009515992	0.0007225574	0.005391408	0.02135306	0.02703803	0.006258178	0.02202714	0.01986326	0.03024769	0.03539781	0.198101	0.41962	0.327751	0.0545272
102	0	-127.0952	-165.1993	38.10407	0.005235715	0.01859142	0.008493293	0.01915883	0.001668937	0.004156071	0.02196273	0.005431626	0.01682374	0.01471492	0.02110902	0.05043228	0.0140344	0.0887092	0.832394	0.064862
103	1	-127.6326	-164.3805	36.74795	0.0001901003	0.008732036	0.009515992	0.0004421164	0.007713405	0.0186363	0.02342545	0.008795126	0.02229839	0.01986326	0.02353665	0.05786245	0.298904	0.124299	0.494525	0.0822729
104	0	-128.189	-167.8054	39.61645	0.002067862	0.0166273	0.01080843	0.02130152	0.001668937	0.004156071	0.02384879	0.01057462	0.009881114	0.02011227	0.02232386	0.02965033	0.00179394	0.472245	0.493473	0.0324884
105	1	-127.2682	-166.5565	39.28839	0.0007184964	0.009054965	0.007141747	0.0004421164	0.01117433	0.0186363	0.02342545	0.003980835	0.02054056	0.01986326	0.02353665	0.03770747	0.293051	0.175752	0.391127	0.14007
106	0	-131.222	-165.7597	34.53768	0.001713644	0.021432	0.01894539	0.02951731	0.001443992	0.003640247	0.02384879	0.01000546	0.009881114	0.02011227	0.03049214	0.05154632	0.00114246	0.300745	0.677423	0.0206899
107	1	-127.76	-168.7586	40.99858	0.0001791523	0.01315708	0.005359121	0.0006882434	0.01117433	0.01502532	0.02342545	0.003980835	0.02176696	0.01222579	0.01329371	0.03925855	0.406228	0.147616	0.32851	0.117646
108	0	-134.5802	-166.2974	31.71713	0.001784493	0.02828818	0.02064297	0.03366987	0.0006989158	0.002444161	0.02441782	0.008989481	0.01410784	0.02011227	0.02601478	0.06893025	0.00127867	0.217377	0.758188	0.0231567
109	1	-129.1093	-165.905	36.79576	0.0002064207	0.01626103	0.003955951	0.0007626957	0.01787566	0.007619988	0.02872877	0.005245661	0.02611599	0.01149758	0.01903648	0.06323851	0.27028	0.432873	0.218572	0.0782749
110	0	-131.1582	-166.3417	35.18356	0.00197116	0.02526756	0.01761602	0.03446597	0.0003577545	0.002758543	0.01749857	0.008989481	0.01758853	0.009867248	0.02514165	0.05475386	0.00109805	0.327927	0.651089	0.0198856
111	1	-130.7969	-168.0513	37.25448	0.0001557444	0.03242716	0.003955951	0.001353632	0.0176172	0.009299162	0.02341047	0.004659872	0.02611599	0.01149758	0.01903648	0.04653946	0.244132	0.487741	0.197426	0.070702
112	0	-132.4125	-166.4691	34.05659	0.002544498	0.02017497	0.01314899	0.04087377	0.0003822968	0.003729504	0.0275477	0.01076068	0.02621275	0.01471771	0.02085568	0.04632444	0.00109805	0.327927	0.651089	0.0198856
113	1	-128.5629	-167.546	38.98304	0.0001839119	0.02258249	0.003923947	0.0006215176	0.01713216	0.009299162	0.03188914	0.004659872	0.01958407	0.01071919	0.0226543	0.03595197	0.143993	0.618529	0.103808	0.133671
114	0	-129.8228	-166.871	37.04821	0.004079955	0.01551366	0.008821582	0.02627217	0.000289237	0.003729504	0.02497793	0.01007991	0.02621275	0.01731151	0.01772044	0.04307275	0.00160526	0.296364	0.588422	0.113609
115	1	-125.5316	-163.0726	37.54102	0.0001823217	0.0187491	0.007558538	0.0005659286	0.01713216	0.006843393	0.02884687	0.004659872	0.01958407	0.009644862	0.02847854	0.05102707	0.10285	0.196478	0.624751	0.0759215
