Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
109	-124.9524	-162.0891	37.13673	0.000998877	0.016735	0.01120482	0.002693387	0.00525573	0.009432059	0.03740947	0.007132696	0.01825825	0.003108648	0.03044036	0.05454832	0.0147694	0.658196	0.313562	0.0134731
110	-123.2012	-161.7509	38.54963	0.003156121	0.016735	0.009667296	0.001892792	0.007807706	0.009432059	0.02742541	0.006013832	0.01733211	0.005456149	0.03044036	0.04807201	0.0312932	0.275788	0.664372	0.0285468
111	-125.3346	-163.0956	37.76103	0.003156121	0.016735	0.01513455	0.004223728	0.01058951	0.009872186	0.02186597	0.006013832	0.02006266	0.003489037	0.03728743	0.04269589	0.0407511	0.251748	0.681442	0.0260584
112	-125.4616	-163.734	38.27248	0.002216671	0.01850847	0.01591284	0.004047535	0.008899358	0.01072339	0.01731565	0.007851257	0.02006266	0.008109019	0.02105486	0.05143357	0.0629859	0.264798	0.644807	0.0274092
113	-126.9627	-162.7394	35.77671	0.002743629	0.01416319	0.01591284	0.004466578	0.01314184	0.01161716	0.01731565	0.009467581	0.02006266	0.01106161	0.03954864	0.05098705	0.063044	0.265042	0.645402	0.0265121
114	-126.5685	-165.2061	38.6376	0.002087785	0.01559981	0.01089658	0.004466578	0.01288019	0.01400018	0.02084167	0.006629575	0.02523827	0.009027978	0.02825447	0.03264935	0.131534	0.552979	0.260172	0.0553143
115	-124.7164	-162.7483	38.03196	0.00396017	0.01753919	0.01222175	0.005632259	0.006919526	0.009417077	0.02300497	0.006574309	0.01917123	0.009027978	0.03021785	0.04479588	0.241346	0.0816867	0.477379	0.199589
116	-125.0864	-162.0972	37.01083	0.001573017	0.01429517	0.01222175	0.005632259	0.006919526	0.009669488	0.04019018	0.006574309	0.01314405	0.00607857	0.03735197	0.04479588	0.276543	0.0935997	0.546999	0.0828579
117	-123.039	-162.8279	39.78882	0.002281493	0.01535208	0.01120186	0.004922528	0.004566372	0.007636536	0.03666172	0.005019267	0.009744592	0.005102744	0.02405404	0.04479588	0.185767	0.0628753	0.695698	0.0556595
118	-124.1999	-164.1101	39.91023	0.002103605	0.01622068	0.01186138	0.004376623	0.003093879	0.009214549	0.02119012	0.01786821	0.01352953	0.007317842	0.01858217	0.04479588	0.189453	0.0442822	0.709501	0.0567639
