Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
93	-172.8388	-175.5235	2.684691	0.01897889	0.01897889	0.01897889	0.01897889	0.01897889	0.01897889	0.01897889	0.01897889	0.01897889	0.01897889	0.01897889	0.01897889	0.01897889
94	-172.8388	-175.5235	2.684691	0.01897889	0.01897889	0.01897889	0.01897889	0.01897889	0.01897889	0.01897889	0.01897889	0.01897889	0.01897889	0.01897889	0.01897889	0.01897889
95	-173.2063	-175.734	2.527692	0.02051085	0.02051085	0.02051085	0.02051085	0.02051085	0.02051085	0.02051085	0.02051085	0.02051085	0.02051085	0.02051085	0.02051085	0.02051085
96	-173.1021	-176.1674	3.065326	0.01526473	0.01526473	0.01526473	0.01526473	0.01526473	0.01526473	0.01526473	0.01526473	0.01526473	0.01526473	0.01526473	0.01526473	0.01526473
97	-172.8052	-175.7474	2.942169	0.01646647	0.01646647	0.01646647	0.01646647	0.01646647	0.01646647	0.01646647	0.01646647	0.01646647	0.01646647	0.01646647	0.01646647	0.01646647
98	-172.7219	-175.5462	2.824322	0.0176164	0.0176164	0.0176164	0.0176164	0.0176164	0.0176164	0.0176164	0.0176164	0.0176164	0.0176164	0.0176164	0.0176164	0.0176164
99	-172.7219	-175.5462	2.824322	0.0176164	0.0176164	0.0176164	0.0176164	0.0176164	0.0176164	0.0176164	0.0176164	0.0176164	0.0176164	0.0176164	0.0176164	0.0176164
100	-172.7561	-175.6579	2.901782	0.01686056	0.01686056	0.01686056	0.01686056	0.01686056	0.01686056	0.01686056	0.01686056	0.01686056	0.01686056	0.01686056	0.01686056	0.01686056
101	-172.7561	-175.6579	2.901782	0.01686056	0.01686056	0.01686056	0.01686056	0.01686056	0.01686056	0.01686056	0.01686056	0.01686056	0.01686056	0.01686056	0.01686056	0.01686056
102	-172.7702	-175.5069	2.736714	0.01847126	0.01847126	0.01847126	0.01847126	0.01847126	0.01847126	0.01847126	0.01847126	0.01847126	0.01847126	0.01847126	0.01847126	0.01847126
103	-173.3486	-176.4769	3.128242	0.0146508	0.0146508	0.0146508	0.0146508	0.0146508	0.0146508	0.0146508	0.0146508	0.0146508	0.0146508	0.0146508	0.0146508	0.0146508
104	-172.7452	-175.51	2.764806	0.01819714	0.01819714	0.01819714	0.01819714	0.01819714	0.01819714	0.01819714	0.01819714	0.01819714	0.01819714	0.01819714	0.01819714	0.01819714
105	-173.2256	-175.747	2.521404	0.02057221	0.02057221	0.02057221	0.02057221	0.02057221	0.02057221	0.02057221	0.02057221	0.02057221	0.02057221	0.02057221	0.02057221	0.02057221
106	-173.4205	-175.8836	2.463044	0.02114168	0.02114168	0.02114168	0.02114168	0.02114168	0.02114168	0.02114168	0.02114168	0.02114168	0.02114168	0.02114168	0.02114168	0.02114168
107	-172.7264	-175.5816	2.855127	0.01731581	0.01731581	0.01731581	0.01731581	0.01731581	0.01731581	0.01731581	0.01731581	0.01731581	0.01731581	0.01731581	0.01731581	0.01731581
108	-173.1084	-176.1756	3.067196	0.01524649	0.01524649	0.01524649	0.01524649	0.01524649	0.01524649	0.01524649	0.01524649	0.01524649	0.01524649	0.01524649	0.01524649	0.01524649
109	-172.7289	-175.5904	2.861559	0.01725305	0.01725305	0.01725305	0.01725305	0.01725305	0.01725305	0.01725305	0.01725305	0.01725305	0.01725305	0.01725305	0.01725305	0.01725305
110	-172.7289	-175.5904	2.861559	0.01725305	0.01725305	0.01725305	0.01725305	0.01725305	0.01725305	0.01725305	0.01725305	0.01725305	0.01725305	0.01725305	0.01725305	0.01725305
111	-172.7398	-175.6213	2.881531	0.01705816	0.01705816	0.01705816	0.01705816	0.01705816	0.01705816	0.01705816	0.01705816	0.01705816	0.01705816	0.01705816	0.01705816	0.01705816
112	-173.2763	-175.7817	2.505406	0.02072831	0.02072831	0.02072831	0.02072831	0.02072831	0.02072831	0.02072831	0.02072831	0.02072831	0.02072831	0.02072831	0.02072831	0.02072831
113	-172.7552	-175.5076	2.752404	0.01831816	0.01831816	0.01831816	0.01831816	0.01831816	0.01831816	0.01831816	0.01831816	0.01831816	0.01831816	0.01831816	0.01831816	0.01831816
114	-172.9939	-175.6001	2.606213	0.01974467	0.01974467	0.01974467	0.01974467	0.01974467	0.01974467	0.01974467	0.01974467	0.01974467	0.01974467	0.01974467	0.01974467	0.01974467
