Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
129	-173.4968	-175.939	2.442179	0.02134527	0.02134527	0.02134527	0.02134527	0.02134527	0.02134527	0.02134527	0.02134527	0.02134527	0.02134527	0.02134527	0.02134527	0.02134527
130	-172.9202	-175.9221	3.001892	0.0158837	0.0158837	0.0158837	0.0158837	0.0158837	0.0158837	0.0158837	0.0158837	0.0158837	0.0158837	0.0158837	0.0158837	0.0158837
131	-173.1643	-176.2473	3.082978	0.01509249	0.01509249	0.01509249	0.01509249	0.01509249	0.01509249	0.01509249	0.01509249	0.01509249	0.01509249	0.01509249	0.01509249	0.01509249
132	-173.1643	-176.2473	3.082978	0.01509249	0.01509249	0.01509249	0.01509249	0.01509249	0.01509249	0.01509249	0.01509249	0.01509249	0.01509249	0.01509249	0.01509249	0.01509249
133	-173.4445	-175.9009	2.456384	0.02120666	0.02120666	0.02120666	0.02120666	0.02120666	0.02120666	0.02120666	0.02120666	0.02120666	0.02120666	0.02120666	0.02120666	0.02120666
134	-173.3501	-176.4787	3.128579	0.01464752	0.01464752	0.01464752	0.01464752	0.01464752	0.01464752	0.01464752	0.01464752	0.01464752	0.01464752	0.01464752	0.01464752	0.01464752
135	-173.4461	-176.5952	3.149122	0.01444706	0.01444706	0.01444706	0.01444706	0.01444706	0.01444706	0.01444706	0.01444706	0.01444706	0.01444706	0.01444706	0.01444706	0.01444706
136	-173.0626	-175.6411	2.578512	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496
137	-173.0626	-175.6411	2.578512	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496
138	-173.0626	-175.6411	2.578512	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496	0.02001496
