Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
92	0	-130.8921	-168.7349	37.84286	0.005901931	0.0006480596	0.001798388	0.00241337	0.002831866	0.0194735	0.03050564	0.01206138	0.008996343	0.007967058	0.02258914	0.07514067	0.40325	0.197647	0.369291	0.0298119
93	1	-133.0807	-170.969	37.88836	0.002870892	0.03752821	0.00344235	0.01963366	0.0005670075	0.0162668	0.01967978	0.01998661	0.03632579	0.006149401	0.01894031	0.008492566	0.22073	0.103314	0.420066	0.25589
94	0	-132.5507	-169.8621	37.31132	0.009957499	0.0007146028	0.001789955	0.00241337	0.004274193	0.01445197	0.04034265	0.01149582	0.009350888	0.007266844	0.01823511	0.0752211	0.435703	0.25373	0.278356	0.0322111
95	1	-130.0214	-169.6552	39.63384	0.001849347	0.02213606	0.003908559	0.01383894	0.0009044503	0.02291399	0.01369218	0.01998661	0.03718768	0.005315003	0.01894031	0.01217822	0.27533	0.128869	0.523972	0.0718293
96	0	-132.717	-169.6549	36.93783	0.005975281	0.001134785	0.001907555	0.002866041	0.004274193	0.01655909	0.04034265	0.01149582	0.0149877	0.01196156	0.01243271	0.0752211	0.206707	0.582802	0.192694	0.0177968
97	1	-131.9978	-168.3893	36.3915	0.001430338	0.02213606	0.00335728	0.009174675	0.0007235384	0.01778641	0.01810169	0.01998661	0.05464323	0.008717084	0.02933881	0.01909371	0.276148	0.129252	0.365686	0.228914
98	0	-131.2306	-169.7208	38.49015	0.00662441	0.001134785	0.001733264	0.001729339	0.005053247	0.01655909	0.02545103	0.007393484	0.02008754	0.01059129	0.01243271	0.0752211	0.109027	0.307396	0.562423	0.021154
99	1	-130.2918	-169.3354	39.04363	0.00127789	0.02454955	0.00335728	0.009174675	0.00155124	0.007089608	0.02468916	0.01936512	0.04610349	0.01319966	0.01670185	0.01155098	0.464945	0.0955401	0.270307	0.169208
100	0	-128.3632	-169.1204	40.75724	0.007170292	0.001648232	0.003848415	0.0018151	0.004509369	0.01492829	0.01953854	0.005796307	0.02008754	0.008046435	0.01577836	0.05872261	0.428348	0.197227	0.360853	0.0135725
101	1	-128.1152	-169.7462	41.63095	0.001622462	0.02454955	0.002367949	0.009174675	0.002592076	0.005979776	0.02468916	0.01936512	0.03060265	0.004389386	0.0155291	0.01250207	0.15115	0.157043	0.444315	0.247492
102	0	-126.9747	-167.0876	40.11292	0.007003365	0.001767002	0.003848415	0.002522346	0.00407853	0.01221338	0.02535052	0.003095954	0.02008754	0.004465446	0.02545245	0.05829163	0.46385	0.142819	0.379074	0.0142578
103	1	-127.4743	-169.9613	42.48705	0.002371879	0.02454955	0.003015596	0.006082322	0.002129062	0.007929152	0.02213878	0.01698574	0.032768	0.006515269	0.01368256	0.006842394	0.0681799	0.0708384	0.749344	0.111637
104	0	-125.1597	-168.1486	42.98886	0.007003365	0.002838055	0.004921048	0.004890591	0.00407853	0.01056728	0.01885702	0.002359357	0.01380233	0.004465446	0.03042609	0.0359047	0.280512	0.194046	0.515042	0.0104
105	1	-129.5364	-171.5971	42.06068	0.002371879	0.03459471	0.003718806	0.01103689	0.001640828	0.005622824	0.02213878	0.01706577	0.03137454	0.004018108	0.009554256	0.006033404	0.164918	0.0792455	0.63095	0.124886
106	0	-125.4855	-167.881	42.39543	0.004946599	0.002664313	0.003104339	0.005429653	0.005932412	0.01116972	0.02915476	0.002983665	0.01380233	0.003274067	0.03042609	0.03301643	0.313912	0.0980827	0.576367	0.0116383
107	1	-128.8378	-171.3408	42.50294	0.001624231	0.02957501	0.003950289	0.01132534	0.001469189	0.008444223	0.02213878	0.01486216	0.02860146	0.003880411	0.0133252	0.005658957	0.158539	0.0761802	0.606543	0.158737
108	0	-128.8923	-169.8308	40.93849	0.007292509	0.003603917	0.003104339	0.008265374	0.007138217	0.01686167	0.02073625	0.002983665	0.00723034	0.002195974	0.04769221	0.03301643	0.313912	0.0980827	0.576367	0.0116383
109	1	-127.5333	-169.2749	41.74158	0.001762092	0.02954232	0.003969331	0.00727521	0.001164024	0.005121871	0.02573259	0.01486216	0.04059331	0.002731731	0.0133252	0.006204621	0.129182	0.0882424	0.598704	0.183872
110	0	-129.361	-167.3979	38.03693	0.009524647	0.003919707	0.002548971	0.01137003	0.007138217	0.01211988	0.02073625	0.004662315	0.01290411	0.002685943	0.04769221	0.05313144	0.313912	0.0980827	0.576367	0.0116383
111	1	-127.2255	-169.9707	42.74515	0.001762092	0.01784466	0.004380539	0.004952198	0.002653883	0.005119538	0.02465441	0.01486216	0.04034557	0.003395687	0.0133252	0.009195931	0.532895	0.342339	0.111612	0.0131542
112	0	-128.3744	-165.5572	37.18285	0.01176465	0.01184267	0.005249097	0.01137003	0.007138217	0.01064899	0.02073625	0.002997445	0.01151074	0.002685943	0.04769221	0.05313144	0.16385	0.246337	0.560584	0.0292299
113	1	-127.9948	-170.2321	42.23734	0.001482939	0.007634479	0.005912104	0.004952198	0.002623339	0.004453815	0.03567792	0.01350841	0.04411892	0.003679236	0.01420766	0.009195931	0.770383	0.0492489	0.161352	0.0190164
114	0	-128.7241	-164.4723	35.74827	0.008386274	0.01184267	0.004049532	0.02265802	0.006228288	0.01026499	0.02530932	0.002997445	0.01660308	0.00395347	0.04769221	0.05078066	0.175866	0.191066	0.601694	0.0313735
115	1	-127.3678	-171.5379	44.17012	0.001482939	0.009372478	0.005912104	0.004135182	0.002932986	0.002726913	0.02776629	0.00997619	0.03860211	0.004802489	0.005887884	0.01498972	0.771404	0.0547335	0.155532	0.0183305
116	0	-127.6808	-164.0483	36.36747	0.008386274	0.01720874	0.003481871	0.01380831	0.00541531	0.009851001	0.02530932	0.002779425	0.01660308	0.007293138	0.0438068	0.05078066	0.175866	0.191066	0.601694	0.0313735
