,spp1,spp2
350,Palicourea_domingensis,Palicourea_corymbifera
351,Palicourea_pubescens,Palicourea_corymbifera
352,Palicourea_correae,Palicourea_corymbifera
353,Palicourea_elata,Palicourea_corymbifera
354,Palicourea_berteroana,Palicourea_corymbifera
355,Palicourea_petiolaris,Palicourea_corymbifera
356,Palicourea_timbiquensis,Palicourea_corymbifera
357,Palicourea_acanthacea,Palicourea_corymbifera
358,Palicourea_brachiata,Palicourea_corymbifera
359,Palicourea_glomerulata,Palicourea_corymbifera
360,Palicourea_conephoroides,Palicourea_corymbifera
361,Palicourea_tinctoria,Palicourea_corymbifera
362,Palicourea_jelskii,Palicourea_corymbifera
363,Palicourea_allenii,Palicourea_corymbifera
364,Palicourea_cyanococca,Palicourea_corymbifera
365,Palicourea_hazenii,Palicourea_corymbifera
366,Palicourea_tomentosa,Palicourea_corymbifera
367,Psychotria_rosea,Palicourea_corymbifera
368,Psychotria_suterella,Palicourea_corymbifera
369,Palicourea_brachypoda,Palicourea_corymbifera
370,Palicourea_sessilis,Palicourea_corymbifera
371,Palicourea_divaricata,Palicourea_corymbifera
372,Palicourea_racemosa,Palicourea_corymbifera
373,Palicourea_subfusca,Palicourea_corymbifera
374,Palicourea_topoensis,Palicourea_corymbifera
375,Palicourea_brevicollis,Palicourea_corymbifera
376,Palicourea_winkleri,Palicourea_winkleri
377,Palicourea_dichotoma,Palicourea_winkleri
378,Palicourea_gracilenta,Palicourea_winkleri
379,Palicourea_obliquinervia,Palicourea_winkleri
380,Palicourea_prunifolia,Palicourea_winkleri
381,Palicourea_callithrix,Palicourea_winkleri
382,Palicourea_glabra,Palicourea_winkleri
383,Palicourea_acuminata,Palicourea_winkleri
384,Palicourea_andina,Palicourea_winkleri
385,Palicourea_didymocarpos,Palicourea_winkleri
386,Palicourea_rhodothamna,Palicourea_winkleri
387,Palicourea_triphylla,Palicourea_winkleri
388,Palicourea_croceoides,Palicourea_winkleri
389,Palicourea_crocea,Palicourea_winkleri
390,Palicourea_lasiantha,Palicourea_winkleri
391,Palicourea_nitidella,Palicourea_winkleri
392,Palicourea_macrobotrys,Palicourea_winkleri
393,Palicourea_guianensis,Palicourea_winkleri
394,Palicourea_marcgravii,Palicourea_winkleri
395,Palicourea_grandiflora,Palicourea_winkleri
396,Palicourea_rigida,Palicourea_winkleri
397,Palicourea_egensis,Palicourea_winkleri
398,Palicourea_polycephala,Palicourea_winkleri
399,Palicourea_deflexa,Palicourea_winkleri
400,Palicourea_woronovii,Palicourea_winkleri
401,Palicourea_bangii,Palicourea_winkleri
402,Palicourea_flavifolia,Palicourea_winkleri
403,Palicourea_reticulata,Palicourea_winkleri
404,Palicourea_stipularis,Palicourea_winkleri
405,Palicourea_flavescens,Palicourea_winkleri
406,Palicourea_stenosepala,Palicourea_winkleri
407,Palicourea_lineata,Palicourea_winkleri
408,Palicourea_padifolia,Palicourea_winkleri
409,Palicourea_lehmannii,Palicourea_winkleri
410,Palicourea_thyrsiflora,Palicourea_winkleri
411,Palicourea_demissa,Palicourea_winkleri
412,Palicourea_amethystina,Palicourea_winkleri
413,Palicourea_standleyana,Palicourea_winkleri
414,Palicourea_seemannii,Palicourea_winkleri
415,Palicourea_pyramidalis,Palicourea_winkleri
416,Palicourea_luteonivea,Palicourea_winkleri
417,Palicourea_sulphurea,Palicourea_winkleri
418,Palicourea_apicata,Palicourea_winkleri
419,Palicourea_loxensis,Palicourea_winkleri
420,Palicourea_angustifolia,Palicourea_winkleri
421,Palicourea_tetragona,Palicourea_winkleri
422,Palicourea_domingensis,Palicourea_winkleri
423,Palicourea_pubescens,Palicourea_winkleri
424,Palicourea_correae,Palicourea_winkleri
425,Palicourea_elata,Palicourea_winkleri
426,Palicourea_berteroana,Palicourea_winkleri
427,Palicourea_petiolaris,Palicourea_winkleri
