"species","ID","wc2.1_5m_bio_1","wc2.1_5m_bio_4","wc2.1_5m_bio_5","wc2.1_5m_bio_12","elev"
"Palicourea_anceps",1.99563519459755,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",2,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",2.00432137378264,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",2.00860017176192,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",2.01283722470517,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",2.01703333929878,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",2.02118929906994,1.06702588994589,1.48891293131354,1.22868260345055,3.28891960566173,2913
"Palicourea_anceps",2.02530586526477,1.06702588994589,1.48891293131354,1.22868260345055,3.28891960566173,2913
"Palicourea_anceps",2.02938377768521,1.06702588994589,1.48891293131354,1.22868260345055,3.28891960566173,2913
"Palicourea_anceps",2.03342375548695,1.06702588994589,1.48891293131354,1.22868260345055,3.28891960566173,2913
"Palicourea_anceps",2.03742649794062,1.06702588994589,1.48891293131354,1.22868260345055,3.28891960566173,2913
"Palicourea_anceps",2.04139268515822,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
"Palicourea_anceps",2.04532297878666,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
"Palicourea_anceps",2.04921802267018,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
"Palicourea_anceps",2.05307844348342,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
"Palicourea_anceps",2.05690485133647,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
"Palicourea_anceps",2.06069784035361,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
"Palicourea_anceps",2.06445798922692,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
"Palicourea_anceps",2.06818586174616,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
"Palicourea_anceps",2.07188200730613,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
"Palicourea_anceps",2.07554696139253,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",2.07918124604762,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",2.08278537031645,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",2.08635983067475,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",2.0899051114394,0.956338555469903,1.70928006285748,1.13846059833901,3.22737244228964,3279
"Palicourea_anceps",2.09342168516224,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",2.09691001300806,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",2.10037054511756,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",2.10380372095596,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",2.10720996964787,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",2.11058971029925,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",2.11394335230684,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",2.11727129565576,1.0500331755127,1.60045192218117,1.21434042407417,3.33585891131982,2889
"Palicourea_anceps",2.12057393120585,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.12385164096709,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.12710479836481,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.13033376849501,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.13353890837022,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.13672056715641,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.13987908640124,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.1430148002541,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.14612803567824,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.14921911265538,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.15228834438306,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.15533603746506,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.15836249209525,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.16136800223497,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.16435285578444,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.16731733474818,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.17026171539496,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.17318626841227,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.17609125905568,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.17897694729317,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.18184358794477,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.1846914308176,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.18752072083646,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.19033169817029,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.19312459835446,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.19589965240923,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.19865708695442,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.20139712432045,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.20411998265592,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.20682587603185,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.20951501454263,1.00107176373281,1.72400574318884,1.1708189051886,3.27160930137883,3114
"Palicourea_anceps",2.21218760440396,1.21914884693699,1.5245112191596,1.33553811897776,3.32613095671079,2004
"Palicourea_anceps",2.2148438480477,1.21914884693699,1.5245112191596,1.33553811897776,3.32613095671079,2004
"Palicourea_anceps",2.21748394421391,0.943733507701647,1.28609311457695,1.13795513366141,3.22968184231768,3340
"Palicourea_anceps",2.22010808804005,0.943733507701647,1.28609311457695,1.13795513366141,3.22968184231768,3340
"Palicourea_anceps",2.22271647114758,0.943733507701647,1.28609311457695,1.13795513366141,3.22968184231768,3340
