Iteration	Posterior	Likelihood	Prior	extirpation_rate	rate_bg
3750	-223.4767	-224.032	0.5553209	0.3630635	0.04339491
3760	-223.4207	-224.1257	0.7049867	0.3831938	0.04263198
3770	-224.2238	-224.6564	0.4325599	1.334351	0.0459395
3780	-224.3627	-225.8372	1.474575	0.7962377	0.03742456
3790	-222.7243	-223.9785	1.254181	0.6805324	0.04870725
3800	-223.0603	-223.9699	0.9095441	0.4300646	0.04430406
3810	-224.469	-224.8326	0.3636168	0.3259729	0.03900663
3820	-225.5607	-226.0174	0.4566516	1.171479	0.06124027
3830	-223.8494	-224.2045	0.3550586	0.3331867	0.04195689
3840	-223.0303	-223.9636	0.9333169	0.4608045	0.04877594
3850	-223.0536	-224.1423	1.088785	0.9453452	0.04690662
3860	-226.0649	-225.3716	-0.6933134	1.788121	0.05487254
3870	-223.2959	-224.5558	1.259936	0.8888811	0.04243426
3880	-222.9376	-224.2891	1.351561	0.5933437	0.04232747
3890	-222.78	-224.0189	1.238831	0.6931117	0.04946333
3900	-222.9497	-223.9171	0.9674125	0.4497982	0.04530032
3910	-224.8027	-225.9556	1.152881	1.043271	0.03805158
3920	-224.5471	-225.1312	0.5841391	1.298948	0.04233703
3930	-227.6791	-228.2842	0.6050555	1.01946	0.06832303
3940	-223.306	-224.2089	0.9029398	1.049377	0.0483794
3950	-222.912	-224.0664	1.1544	0.8753053	0.04788742
3960	-222.7501	-223.9961	1.246073	0.7444888	0.04848965
3970	-223.5886	-224.3073	0.7187455	1.150328	0.04895549
3980	-223.991	-223.9179	-0.07311375	0.2973158	0.04510366
3990	-224.9123	-225.0635	0.151121	1.376028	0.05599452
4000	-222.9236	-224.1242	1.200668	0.8713478	0.04592122
4010	-222.8162	-224.0455	1.229233	0.7137553	0.04980504
4020	-223.7945	-225.0813	1.286723	0.9114829	0.04020836
4030	-223.5537	-223.9133	0.3596949	0.3424156	0.04513438
4040	-223.7403	-224.3957	0.6554163	1.203515	0.04732486
4050	-222.8727	-224.2355	1.362844	0.7265964	0.04343103
4060	-224.5319	-225.2003	0.6684257	1.262675	0.04175777
4070	-223.9172	-224.1651	0.2478172	0.321986	0.04220377
4080	-222.8267	-224.0303	1.203579	0.8131143	0.04842904
4090	-225.0662	-225.0386	-0.02765391	1.562536	0.04554763
4100	-223.9896	-225.2056	1.215996	0.967982	0.04003094
4110	-223.4254	-224.3863	0.9609441	0.9538242	0.0526915
4120	-223.8318	-225.2862	1.454397	0.7687716	0.03888863
4130	-222.8368	-224.1633	1.326502	0.5879344	0.04316124
4140	-225.2816	-224.9487	-0.3329307	1.658266	0.0504819
4150	-223.4002	-224.5502	1.150009	0.6970722	0.05404388
4160	-222.8419	-224.0389	1.197058	0.8354834	0.04779388
4170	-227.3053	-227.7143	0.4090477	0.4015742	0.06366526
4180	-224.4928	-223.9292	-0.5635684	0.2621546	0.04679943
4190	-223.9234	-225.0163	1.092899	0.7437892	0.05653287
4200	-222.8828	-223.8978	1.015001	0.4679986	0.04605543
4210	-224.0972	-224.8109	0.7137508	1.218338	0.04342212
4220	-222.811	-224.0917	1.280724	0.5597051	0.04360394
4230	-223.2361	-224.313	1.076873	0.5451668	0.05224767
4240	-223.4338	-224.0682	0.6344741	0.3736699	0.04307902
4250	-224.4164	-225.2552	0.8387818	1.181812	0.04100884
4260	-223.7485	-224.8629	1.114393	0.7217276	0.05575852
4270	-223.5784	-224.4475	0.8690971	0.4043416	0.04078266
4280	-222.7533	-223.9977	1.244347	0.7512016	0.04842638
4290	-224.2089	-225.5737	1.364779	0.5189197	0.0372442
4300	-224.9199	-225.2767	0.3567816	0.3212327	0.03757841
4310	-226.328	-227.1863	0.8582856	0.5287694	0.06308091
4320	-224.0523	-225.1209	1.068582	1.052443	0.04079157
4330	-223.2119	-224.6361	1.424165	0.6453093	0.04077606
4340	-222.9032	-223.892	0.9888378	0.4638326	0.04662348
4350	-222.685	-223.9156	1.230594	0.582068	0.04719967
