Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	er[3][3]	er[4][4]	er[5][5]	extirpation_rate	rate_bg
1360	-420.5449	-420.991	0.4461266	1.142768	1.142768	1.142768	1.142768	1.142768	1.142768	0.02830377
1370	-420.8679	-421.0096	0.1416432	1.285228	1.285228	1.285228	1.285228	1.285228	1.285228	0.02939829
1380	-420.9103	-421.9066	0.9963435	0.6650003	0.6650003	0.6650003	0.6650003	0.6650003	0.6650003	0.02732098
1390	-420.4113	-421.1339	0.7225873	1.009546	1.009546	1.009546	1.009546	1.009546	1.009546	0.02678663
1400	-420.5032	-420.8516	0.3484041	1.207445	1.207445	1.207445	1.207445	1.207445	1.207445	0.02773481
1410	-420.977	-422.01	1.03297	0.8437682	0.8437682	0.8437682	0.8437682	0.8437682	0.8437682	0.02426539
1420	-422.1168	-422.8974	0.7805452	1.086296	1.086296	1.086296	1.086296	1.086296	1.086296	0.022343
1430	-420.7718	-420.6208	-0.1510187	1.472419	1.472419	1.472419	1.472419	1.472419	1.472419	0.02700945
1440	-420.7393	-420.6401	-0.09927483	1.431221	1.431221	1.431221	1.431221	1.431221	1.431221	0.02791937
1450	-421.705	-420.772	-0.9329337	1.793663	1.793663	1.793663	1.793663	1.793663	1.793663	0.02992659
1460	-420.4756	-420.8526	0.3769512	1.207496	1.207496	1.207496	1.207496	1.207496	1.207496	0.02695168
1470	-421.3371	-421.528	0.1908405	1.361111	1.361111	1.361111	1.361111	1.361111	1.361111	0.02408356
1480	-420.5134	-420.8219	0.3084759	1.229868	1.229868	1.229868	1.229868	1.229868	1.229868	0.02767324
1490	-421.1553	-420.6082	-0.547157	1.630297	1.630297	1.630297	1.630297	1.630297	1.630297	0.02882258
1500	-422.8382	-421.188	-1.650213	2.108026	2.108026	2.108026	2.108026	2.108026	2.108026	0.03131869
1510	-420.4954	-421.3911	0.895673	0.9045242	0.9045242	0.9045242	0.9045242	0.9045242	0.9045242	0.02603989
1520	-420.8695	-421.7948	0.925237	0.7733979	0.7733979	0.7733979	0.7733979	0.7733979	0.7733979	0.02859034
1530	-420.7478	-421.6859	0.9380622	0.7796722	0.7796722	0.7796722	0.7796722	0.7796722	0.7796722	0.02811486
1540	-420.5104	-421.1574	0.6470541	1.026427	1.026427	1.026427	1.026427	1.026427	1.026427	0.02814534
1550	-421.4375	-420.4736	-0.9639363	1.843869	1.843869	1.843869	1.843869	1.843869	1.843869	0.02772401
1560	-421.3609	-421.9201	0.5592281	1.025266	1.025266	1.025266	1.025266	1.025266	1.025266	0.03078478
1570	-420.9522	-420.7597	-0.1924677	1.511657	1.511657	1.511657	1.511657	1.511657	1.511657	0.02594817
1580	-421.3838	-420.7996	-0.5842235	1.632498	1.632498	1.632498	1.632498	1.632498	1.632498	0.02977174
1590	-422.9707	-422.949	-0.02172845	1.508187	1.508187	1.508187	1.508187	1.508187	1.508187	0.0220342
1600	-421.41	-422.46	1.050058	0.5835462	0.5835462	0.5835462	0.5835462	0.5835462	0.5835462	0.02459549
1610	-421.3524	-422.4863	1.133912	0.7230169	0.7230169	0.7230169	0.7230169	0.7230169	0.7230169	0.02373911
1620	-422.7805	-420.8949	-1.88556	2.311659	2.311659	2.311659	2.311659	2.311659	2.311659	0.02576874
1630	-420.7647	-420.6259	-0.1388219	1.45043	1.45043	1.45043	1.45043	1.45043	1.45043	0.0279214
1640	-420.8725	-421.1049	0.2324244	1.235927	1.235927	1.235927	1.235927	1.235927	1.235927	0.02951887
1650	-424.3032	-421.3536	-2.94959	2.738521	2.738521	2.738521	2.738521	2.738521	2.738521	0.03098809
1660	-421.7072	-420.5375	-1.169649	1.9552	1.9552	1.9552	1.9552	1.9552	1.9552	0.0268351
1670	-420.8898	-421.1612	0.2713634	1.21366	1.21366	1.21366	1.21366	1.21366	1.21366	0.02960979
1680	-422.2979	-421.7491	-0.5487694	1.579497	1.579497	1.579497	1.579497	1.579497	1.579497	0.03214123
1690	-421.1236	-422.0881	0.9644953	0.6117228	0.6117228	0.6117228	0.6117228	0.6117228	0.6117228	0.02750983
1700	-420.7028	-421.133	0.4301954	1.21242	1.21242	1.21242	1.21242	1.21242	1.21242	0.02532001
1710	-421.0785	-420.617	-0.4615015	1.591051	1.591051	1.591051	1.591051	1.591051	1.591051	0.02874619
1720	-425.8527	-423.4676	-2.385104	2.398985	2.398985	2.398985	2.398985	2.398985	2.398985	0.03537649
1730	-421.2365	-422.3582	1.121714	0.6927916	0.6927916	0.6927916	0.6927916	0.6927916	0.6927916	0.02415112
1740	-420.6866	-421.4861	0.7994685	1.0051	1.0051	1.0051	1.0051	1.0051	1.0051	0.02497241
1750	-421.5567	-420.4732	-1.083488	1.896225	1.896225	1.896225	1.896225	1.896225	1.896225	0.02793157
1760	-421.9898	-422.652	0.662162	0.9312382	0.9312382	0.9312382	0.9312382	0.9312382	0.9312382	0.03180012
1770	-421.5448	-421.8502	0.3054049	1.314575	1.314575	1.314575	1.314575	1.314575	1.314575	0.02356185
1780	-421.0247	-420.5958	-0.4289047	1.579136	1.579136	1.579136	1.579136	1.579136	1.579136	0.02853222
1790	-422.4081	-423.6111	1.203072	0.6616539	0.6616539	0.6616539	0.6616539	0.6616539	0.6616539	0.02220262
1800	-422.0227	-422.8462	0.8234914	0.5532783	0.5532783	0.5532783	0.5532783	0.5532783	0.5532783	0.02962429
1810	-420.5991	-421.393	0.7938523	0.9187767	0.9187767	0.9187767	0.9187767	0.9187767	0.9187767	0.02832615
1820	-420.9857	-421.8316	0.8459217	0.8394022	0.8394022	0.8394022	0.8394022	0.8394022	0.8394022	0.02937966
1830	-420.8026	-421.7607	0.9581217	0.7474894	0.7474894	0.7474894	0.7474894	0.7474894	0.7474894	0.02804892
1840	-420.5098	-421.2635	0.7537088	0.9582891	0.9582891	0.9582891	0.9582891	0.9582891	0.9582891	0.02798004
1850	-421.4657	-420.474	-0.9916653	1.85849	1.85849	1.85849	1.85849	1.85849	1.85849	0.02762509
1860	-421.2258	-421.4683	0.2425145	1.212797	1.212797	1.212797	1.212797	1.212797	1.212797	0.03052573
1870	-420.5742	-421.3181	0.7439289	0.9561117	0.9561117	0.9561117	0.9561117	0.9561117	0.9561117	0.02834032
1880	-422.1533	-420.9195	-1.233852	2.01269	2.01269	2.01269	2.01269	2.01269	2.01269	0.02530604
1890	-420.6621	-421.6465	0.9843975	0.8516905	0.8516905	0.8516905	0.8516905	0.8516905	0.8516905	0.02527414
1900	-420.7998	-420.6523	-0.1474315	1.448659	1.448659	1.448659	1.448659	1.448659	1.448659	0.02826573
1910	-420.4622	-420.951	0.4888097	1.130813	1.130813	1.130813	1.130813	1.130813	1.130813	0.02770131
1920	-420.7127	-420.8062	0.09350424	1.369174	1.369174	1.369174	1.369174	1.369174	1.369174	0.02611872
1930	-420.8808	-421.8158	0.9349829	0.7603631	0.7603631	0.7603631	0.7603631	0.7603631	0.7603631	0.02852471
1940	-421.6726	-422.4663	0.7936622	1.062709	1.062709	1.062709	1.062709	1.062709	1.062709	0.0229342
1950	-422.2024	-422.0281	-0.1742556	1.557404	1.557404	1.557404	1.557404	1.557404	1.557404	0.02315273
1960	-420.4982	-421.2555	0.7573015	1.011253	1.011253	1.011253	1.011253	1.011253	1.011253	0.02580542
1970	-420.4255	-421.1219	0.6963127	1.03469	1.03469	1.03469	1.03469	1.03469	1.03469	0.02644668
1980	-423.1698	-420.7725	-2.397249	2.497	2.497	2.497	2.497	2.497	2.497	0.02921718
1990	-421.7624	-420.9793	-0.7831496	1.714307	1.714307	1.714307	1.714307	1.714307	1.714307	0.03052348
2000	-421.3785	-420.7978	-0.5807665	1.701909	1.701909	1.701909	1.701909	1.701909	1.701909	0.02559882
2010	-421.0093	-421.2698	0.2604976	1.313393	1.313393	1.313393	1.313393	1.313393	1.313393	0.02470159
2020	-420.4824	-420.991	0.5086208	1.149876	1.149876	1.149876	1.149876	1.149876	1.149876	0.02625385
2030	-421.3667	-421.4033	0.03653882	1.433555	1.433555	1.433555	1.433555	1.433555	1.433555	0.02425737
2040	-423.4951	-420.8096	-2.685534	2.649394	2.649394	2.649394	2.649394	2.649394	2.649394	0.02851182
2050	-422.7868	-423.2617	0.4748847	1.03087	1.03087	1.03087	1.03087	1.03087	1.03087	0.03320111
2060	-421.8388	-420.6731	-1.165746	1.907481	1.907481	1.907481	1.907481	1.907481	1.907481	0.02960435
2070	-420.4523	-421.3012	0.8488924	0.9116459	0.9116459	0.9116459	0.9116459	0.9116459	0.9116459	0.02704957
2080	-421.5658	-420.4825	-1.083301	1.891773	1.891773	1.891773	1.891773	1.891773	1.891773	0.02819381
2090	-421.5371	-421.1415	-0.3956111	1.529241	1.529241	1.529241	1.529241	1.529241	1.529241	0.03064638
2100	-421.1332	-421.0959	-0.0372746	1.456101	1.456101	1.456101	1.456101	1.456101	1.456101	0.02493215
2110	-420.8893	-420.7082	-0.1811114	1.501239	1.501239	1.501239	1.501239	1.501239	1.501239	0.02621819
2120	-420.4274	-421.0673	0.6398461	1.046615	1.046615	1.046615	1.046615	1.046615	1.046615	0.02745596
2130	-422.7198	-422.8076	0.08774559	1.451674	1.451674	1.451674	1.451674	1.451674	1.451674	0.02220383
2140	-421.588	-421.0871	-0.5008908	1.679305	1.679305	1.679305	1.679305	1.679305	1.679305	0.02479909
2150	-421.3472	-422.2641	0.9168968	0.5423693	0.5423693	0.5423693	0.5423693	0.5423693	0.5423693	0.02649932
2160	-422.039	-421.981	-0.05794484	1.50002	1.50002	1.50002	1.50002	1.50002	1.50002	0.02323881
2170	-420.5107	-421.0903	0.5796579	1.067761	1.067761	1.067761	1.067761	1.067761	1.067761	0.0281718
2180	-422.8451	-420.6846	-2.160534	2.386072	2.386072	2.386072	2.386072	2.386072	2.386072	0.02903226
2190	-420.4276	-420.957	0.5293695	1.123319	1.123319	1.123319	1.123319	1.123319	1.123319	0.02695246
2200	-420.6107	-421.1063	0.4956788	1.106879	1.106879	1.106879	1.106879	1.106879	1.106879	0.02868297
2210	-420.75	-421.7929	1.042891	0.7162845	0.7162845	0.7162845	0.7162845	0.7162845	0.7162845	0.02604605
2220	-420.6753	-421.6681	0.9927825	0.747887	0.747887	0.747887	0.747887	0.747887	0.747887	0.02708852
2230	-420.6156	-421.6242	1.00857	0.7895488	0.7895488	0.7895488	0.7895488	0.7895488	0.7895488	0.0260267
2240	-421.4021	-420.4769	-0.9252369	1.82844	1.82844	1.82844	1.82844	1.82844	1.82844	0.02756726
2250	-422.0016	-421.3499	-0.6517424	1.760807	1.760807	1.760807	1.760807	1.760807	1.760807	0.02423529
2260	-422.818	-423.5296	0.7115973	0.5137603	0.5137603	0.5137603	0.5137603	0.5137603	0.5137603	0.03072923
2270	-422.4671	-421.0513	-1.415759	2.103011	2.103011	2.103011	2.103011	2.103011	2.103011	0.02503884
2280	-421.2058	-422.2652	1.059459	0.8385547	0.8385547	0.8385547	0.8385547	0.8385547	0.8385547	0.02374972
2290	-420.8764	-421.9472	1.070803	0.6969072	0.6969072	0.6969072	0.6969072	0.6969072	0.6969072	0.02540592
2300	-420.8631	-421.9357	1.072608	0.7100944	0.7100944	0.7100944	0.7100944	0.7100944	0.7100944	0.02531592
2310	-420.4343	-420.9908	0.5565879	1.096492	1.096492	1.096492	1.096492	1.096492	1.096492	0.02747262
2320	-420.9479	-421.3224	0.374465	1.255314	1.255314	1.255314	1.255314	1.255314	1.255314	0.02467942
2330	-420.4151	-421.1643	0.7492076	0.9937645	0.9937645	0.9937645	0.9937645	0.9937645	0.9937645	0.02670949
