Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
103	-128.3021	-169.4457	41.14356	0.000622767	0.0007420071	0.01014357	0.004800103	0.007100242	0.001079367	0.0472843	0.006783591	0.01797625	0.00214648	0.0216806	0.03776055	0.343389	0.320555	0.0983621	0.237695
104	-128.2549	-169.5779	41.32303	0.0004092522	0.0003772979	0.01014357	0.002425597	0.0108692	0.001521294	0.0472843	0.01039092	0.01052443	0.002981635	0.0216806	0.03776055	0.409826	0.382574	0.117393	0.0902079
105	-126.934	-169.1423	42.20834	0.0007046876	0.0003772979	0.01160282	0.001357451	0.01621804	0.001710954	0.03615405	0.008563335	0.005138787	0.005348071	0.02388731	0.03666714	0.41716	0.181403	0.313108	0.0883283
106	-128.3643	-169.6585	41.29422	0.0007046876	0.0001572536	0.00774416	0.00489639	0.01621804	0.001678011	0.02583079	0.008563335	0.005512094	0.005348071	0.03520287	0.04479403	0.340293	0.147977	0.255414	0.256316
107	-129.739	-169.9576	40.21864	0.0006715746	0.0001187108	0.007297135	0.004548107	0.02217854	0.004262895	0.02968374	0.01132377	0.007008689	0.005348071	0.0372246	0.03747917	0.340293	0.147977	0.255414	0.256316
108	-129.155	-169.1934	40.03835	0.0005507219	0.0001340581	0.006053372	0.005279035	0.02203236	0.004262895	0.02766429	0.007132851	0.01007429	0.005348071	0.0372246	0.04314774	0.340293	0.147977	0.255414	0.256316
109	-130.5264	-168.0347	37.5083	0.0004066738	0.0001239998	0.004981116	0.005111409	0.02113152	0.0027599	0.04419899	0.008727157	0.009828599	0.008479582	0.03869718	0.04914581	0.340293	0.147977	0.255414	0.256316
110	-129.0769	-167.6637	38.58683	0.0004228561	0.0001170153	0.007451282	0.002480147	0.01144221	0.001197473	0.04419899	0.0102162	0.00909619	0.008602583	0.03869718	0.04914581	0.25298	0.366591	0.189879	0.19055
111	-126.8114	-168.4151	41.60365	0.0004126038	0.0001170153	0.005749558	0.001627374	0.004195697	0.001683145	0.04419899	0.005100735	0.006887661	0.006577183	0.02038116	0.05669926	0.275138	0.240078	0.359994	0.124789
112	-127.6408	-168.4423	40.80151	0.000585462	0.0001546467	0.004038747	0.002549544	0.003146401	0.002157649	0.04419899	0.01200888	0.007364084	0.01050182	0.02038116	0.05437013	0.282892	0.218661	0.37014	0.128306
